CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,AGE,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[12271],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON_ARCHEAN / EASTERN DHARWAR CRATON / SANDUR GREENSTONE BELT,"LINGADAHALLI, DHARWAR SUPERGROUP",15.08,15.08,70.7,70.7,SAE,,,s_N-195 [12271],ADAKITE [12271],,,NEO [12271],ARCHEAN [12271],,,,,VOL,,,,,WR [12271] ,73.4,0.27,,15.48,,,,0.12,1.9,0.51,0.02,,2.11,6.09,0.1,,,,,,,,,,,,,,,,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05,,2.18,5.94,,,2.13,0.79,1.71,31.15,,,,,,54.74,102,7.72,180,6.63,,,,,,,,,,,,0.75,246,36.83,66.93,6.72,24.64,4,0.94,3.01,0.37,1.37,0.2,0.67,0.1,0.55,0.09,4.11,0.9,,,,,,,,,20.91,,10.88,,,,,,,,,,,,,,,,,,,,,,,,,,559286
[12271],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON_ARCHEAN / EASTERN DHARWAR CRATON / SANDUR GREENSTONE BELT,"LINGADAHALLI, DHARWAR SUPERGROUP",15.08,15.08,70.7,70.7,SAE,,,s_N-I96 [12271],ADAKITE [12271],,,NEO [12271],ARCHEAN [12271],,,,,VOL,,,,,WR [12271] ,72.49,0.3,,15.49,,,,0.4,1.72,0.32,0.02,,2.19,6.89,0.13,,,,,,,,,,,,,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.37,,2.73,8.12,,,2.02,0.82,1.64,28.2,,,,,,61.06,86.63,10.66,237,6.49,,,,,,,,,,,,0.96,256,22.04,43.13,4.62,18.82,3.82,0.82,3.06,0.45,1.87,0.29,0.9,0.13,0.82,0.14,5.19,0.69,,,,,,,,,18.23,,14.37,,,,,,,,,,,,,,,,,,,,,,,,,,559287
[12271],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON_ARCHEAN / EASTERN DHARWAR CRATON / SANDUR GREENSTONE BELT,"LINGADAHALLI, DHARWAR SUPERGROUP",15.08,15.08,70.7,70.7,SAE,,,s_N-197 [12271],ADAKITE [12271],,,NEO [12271],ARCHEAN [12271],,,,,VOL,,,,,WR [12271] ,74.57,0.25,,14.83,,,,0.07,2.49,0.24,0.02,,1.62,5.78,0.1,,,,,,,,,,,,,,,,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83,,2.32,7.06,,,1.44,0.52,1.61,25.45,,,,,,45.92,109,6.84,183,6.36,,,,,,,,,,,,1.02,291,31.6,56.26,5.35,19.63,3.21,0.86,2.52,0.32,1.26,0.19,0.62,0.1,0.58,0.09,4.11,0.71,,,,,,,,,17.78,,10.03,,,,,,,,,,,,,,,,,,,,,,,,,,559288
[12271],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON_ARCHEAN / WESTERN DHARWAR CRATON / CHITRADURGA SCHIST BELT / GADAG FORMATION,"HOSUR MINE, DHARWAR SUPERGROUP",15.3,15.3,75.58,75.58,SAE,,,s_GD-1 [12271],ADAKITE [12271],,,NEO [12271],ARCHEAN [12271],,,,,VOL,,,,,WR [12271] ,73.81,0.17,,15.1,,,,0.91,1.28,0.71,0.04,,1.77,6.1,0.01,,,,,,,,,,,,,,,,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58,,0.73,6.15,,,21.51,7.17,5.33,41.12,,,,,,56.33,155,6.66,146.47,13.2,,,,,,,,,,,,0,0,42.92,78.66,,29.81,4.61,0.82,1.95,0.2,1.12,,0.46,0.06,0.41,0.05,3.07,2.16,,,,,,,,,16.53,,12.97,4.3,,,,,,,,,,,,,,,,,,,,,,,,,559289
[12271],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON_ARCHEAN / WESTERN DHARWAR CRATON / CHITRADURGA SCHIST BELT / GADAG FORMATION,"HOSUR MINE, DHARWAR SUPERGROUP",15.3,15.3,75.58,75.58,SAE,,,s_GD-2 [12271],ADAKITE [12271],,,NEO [12271],ARCHEAN [12271],,,,,VOL,,,,,WR [12271] ,73.27,0.18,,15.94,,,,1.03,1.3,0.54,0.03,,1.65,5.94,0.01,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,0.49,7.16,,,22.5,8.18,6.27,43.12,,,,,,61.38,168,7.67,152.42,13.45,,,,,,,,,,,,0,0,40.82,72.02,,25.16,4.71,0.92,2.15,0.25,1.2,,0.57,0.07,0.35,0.04,4.09,3.02,,,,,,,,,16.11,,12.6,4.34,,,,,,,,,,,,,,,,,,,,,,,,,559290
[12271],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON_ARCHEAN / WESTERN DHARWAR CRATON / CHITRADURGA SCHIST BELT,"CHIKKASIDDAVANAHALLI AREA, INGALDHAL COPPER MINES AND KUNCHIGANAHALU AREA, DHARWAR SUPERGROUP",13.05,13.05,76.5,76.5,SAE,,,s_CRM-6 [12271],ADAKITE [12271],,,NEO [12271],ARCHEAN [12271],,,,,VOL,,,,,WR [12271] ,73.01,0.27,,13.82,,,,3.33,1.43,0.67,0.04,,2.73,4.28,0.05,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,,1.93,1.32,,,2.71,0.4,1.68,36.25,,,,,,120.14,82.78,4.58,115.57,3.85,,,,,,,,,,,,2.66,79.65,19.9,33.68,3.41,12.35,2.23,0.58,1.69,0.22,0.81,0.12,0.38,0.06,0.32,0.05,2.86,0.4,,,,,,,,,3.43,,5.1,1.44,,,,,,,,,,,,,,,,,,,,,,,,,559291
[12271],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON_ARCHEAN / WESTERN DHARWAR CRATON / CHITRADURGA SCHIST BELT,"CHIKKASIDDAVANAHALLI AREA, INGALDHAL COPPER MINES AND KUNCHIGANAHALU AREA, DHARWAR SUPERGROUP",13.05,13.05,76.5,76.5,SAE,,,s_CRM-7 [12271],ADAKITE [12271],,,NEO [12271],ARCHEAN [12271],,,,,VOL,,,,,WR [12271] ,72.58,0.35,,13.44,,,,3.67,1.8,0.74,0.05,,2.38,4.57,0.02,,,,,,,,,,,,,,,,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,,4.86,1.83,,,4.75,0.57,1.37,26.33,,,,,,160.27,55.96,11.45,140.32,7.16,,,,,,,,,,,,4.03,140,48.46,88.92,9.42,35.82,6.93,1.31,4.75,0.54,2.05,0.32,1.05,0.16,1.05,0.17,3.13,1.18,,,,,,,,,,,10.37,1.74,,,,,,,,,,,,,,,,,,,,,,,,,559292
[12271],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON_ARCHEAN / WESTERN DHARWAR CRATON / CHITRADURGA SCHIST BELT,"CHIKKASIDDAVANAHALLI AREA, INGALDHAL COPPER MINES AND KUNCHIGANAHALU AREA, DHARWAR SUPERGROUP",13.05,13.05,76.5,76.5,SAE,,,s_7NC1 [12271],ADAKITE [12271],,,NEO [12271],ARCHEAN [12271],,,,,VOL,,,,,WR [12271] ,64.9,0.19,,16.93,,,,3.98,1.59,5.76,0.12,,1.46,4.61,0.03,,,,,,,,,,,,,,,,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.25,,397,355.95,,,68.25,207.9,,,,,,,,94.5,66.15,12.6,57.75,6.3,,,,,,,,,,,,0,227,52.68,110.61,12.17,52.49,7.64,2.26,5.48,0.66,1.79,0.36,1.28,0.17,1.06,0.16,1.05,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559293
[12271],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON_ARCHEAN / WESTERN DHARWAR CRATON / CHITRADURGA SCHIST BELT,"CHIKKASIDDAVANAHALLI AREA, INGALDHAL COPPER MINES AND KUNCHIGANAHALU AREA, DHARWAR SUPERGROUP",13.05,13.05,76.5,76.5,SAE,,,s_7NC2 [12271],ADAKITE [12271],,,NEO [12271],ARCHEAN [12271],,,,,VOL,,,,,WR [12271] ,74.13,0.22,,14.97,,,,2.45,0.32,0.15,0.01,,0.03,7.38,0.07,,,,,,,,,,,,,,,,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.26,,23.43,16.3,,,24.45,16.3,,,,,,,,94.75,63.16,8.15,144.67,3.06,,,,,,,,,,,,0,50.94,24.1,42.22,3.82,12.51,1.91,0.5,1.65,0.19,0.84,0.13,0.45,0.06,0.42,0.05,2.04,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559294
[12271],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON_ARCHEAN / WESTERN DHARWAR CRATON / CHITRADURGA SCHIST BELT,"CHIKKASIDDAVANAHALLI AREA, INGALDHAL COPPER MINES AND KUNCHIGANAHALU AREA, DHARWAR SUPERGROUP",13.05,13.05,76.5,76.5,SAE,,,s_7NC5 [12271],ADAKITE [12271],,,NEO [12271],ARCHEAN [12271],,,,,VOL,,,,,WR [12271] ,75.21,0.19,,14.14,,,,1.44,0.94,0.72,0.01,,1.27,5.92,0.01,,,,,,,,,,,,,,,,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15,,20.49,7.17,,,22.54,13.32,,,,,,,,87.07,157,11.27,128.05,4.1,,,,,,,,,,,,0,61.46,59.31,72.12,25.2,25.2,4.61,0.72,3.89,0.51,3.28,0.22,1.64,0.31,1.33,0.31,3.07,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559295
[15743],CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / PANAMA / EL VALLE / EL HATO UNIT,,8.551,8.551,-80.2379,-80.2379,SAE,,,s_AT-06-02-06-1A [15743],ADAKITE [15743],,,,,,,,,VOL,,,,,WR [15743] ,65.81,0.23,,16.32,,,,2.3,3.88,1.04,0.07,,1.68,4.09,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,12,38,,,,,,15,748,5.1,88.11,1.8,,,,,,,,,,,,,525.19,7.85,17.51,1.9,7.55,1.63,0.57,1.54,0.21,0.93,0.18,0.43,,0.62,0.04,2.07,0.13,,,,,,,,,4.04,,2.19,1.27,,,,,,,,,,,,,,,,,,,,,,,,,568164
[15743],CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / PANAMA / EL VALLE / EL HATO UNIT,,8.5637,8.5637,-80.214,-80.214,SAE,,,s_AT-06-02-06-2B [15743],ADAKITE [15743],,,,,,,,,VOL,,,,,WR [15743] ,65.22,0.22,,16.86,,,,2.58,3.87,1.04,0.07,,1.27,3.95,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,45,,,,,,16,670,5.66,81,2.83,,,,,,,,,,,,,509,7.3,16.53,2.04,6.76,1.65,0.75,1.53,0.34,1.17,0.31,0.5,,0.78,0.21,1.92,0.27,,,,,,,,,6.47,,1.65,2.84,,,,,,,,,,,,,,,,,,,,,,,,,568165
[15743],CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / PANAMA / EL VALLE / EL HATO UNIT,,8.5343,8.5343,-80.0416,-80.0416,SAE,,,s_CA-05-20-06-01 [15743],ADAKITE [15743],,,,,,,,,VOL,,,,,WR [15743] ,65.17,0.23,,18.28,,,,2.21,3.91,0.85,0.05,,1.44,3.98,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,29,42,,,,,,14,765,4.81,88.52,2.43,,,,,,,,,,,,,517,7.94,17.76,1.96,7.72,1.66,0.57,1.44,0.24,0.9,0.15,0.24,,0.46,0.03,2.22,0.14,,,,,,,,,4.83,,2.58,1.25,,,,,,,,,,,,,,,,,,,,,,,,,568166
[15743],CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / PANAMA / EL VALLE / EL HATO UNIT,,8.5343,8.5343,-80.0416,-80.0416,SAE,,,s_CA-05-20-06-1A [15743],ADAKITE [15743],,,,,,,,,VOL,,,,,WR [15743] ,68.67,0.22,,17.09,,,,2.25,4.13,0.96,0.06,,1.58,4.7,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,22,37,,,,,,15,769,4.81,78,2.43,,,,,,,,,,,,,574.68,7.94,17.76,1.96,7.72,1.66,0.57,1.44,0.24,0.9,0.15,0.24,,0.46,0.03,2.22,0.14,,,,,,,,,4.83,,2.58,1.25,,,,,,,,,,,,,,,,,,,,,,,,,568167
[15743],CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / PANAMA / EL VALLE / EL HATO UNIT,,8.5168,8.5168,-80.0381,-80.0381,SAE,,,s_CA-05-20-06-2A [15743],ADAKITE [15743],,,,,,,,,VOL,,,,,WR [15743] ,65.19,0.22,,17.24,,,,2.13,3.74,0.85,0.05,,1.5,3.98,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,26,36,,,,,,15,736,5.28,80,2.55,,,,,,,,,,,,,480,8.39,18.25,2.28,8.52,1.91,0.73,1.65,0.33,1.01,0.22,0.37,,0.67,0.1,2.01,0.23,,,,,,,,,5.74,,2.66,2,,,,,,,,,,,,,,,,,,,,,,,,,568168
[15743],CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / PANAMA / EL VALLE / EL HATO UNIT,,8.5168,8.5168,-80.0381,-80.0381,SAE,,,s_CA-05-20-06-2C [15743],ADAKITE [15743],,,,,,,,,VOL,,,,,WR [15743] ,69.18,0.23,,17.52,,,,2.09,3.77,0.88,0.05,,1.75,4.21,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,18,41,,,,,,17,737,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568169
[15743],CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / PANAMA / EL VALLE / EL HATO UNIT,,8.5343,8.5343,-80.0416,-80.0416,SAE,,,s_CA-5-19-06-1B [15743],ADAKITE [15743],,,,,,,,,VOL,,,,,WR [15743] ,68.89,0.23,,16.88,,,,2.41,4.21,1,0.06,,1.49,4.47,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16,37,,,,,,14,781,5,75,2.34,,,,,,,,,,,,,476.28,7.23,15.88,1.73,6.81,1.41,0.54,1.32,0.2,0.89,0.14,0.16,,0.25,0.04,1.98,0.1,,,,,,,,,3.86,,2.12,1.76,,,,,,,,,,,,,,,,,,,,,,,,,568170
[15743],CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / PANAMA / EL VALLE / EL HATO UNIT,,8.5608,8.5608,-80.1568,-80.1568,SAE,,,s_CY-06-02-06-4A [15743],ADAKITE [15743],,,,,,,,,VOL,,,,,WR [15743] ,66.15,0.22,,16,,,,2.23,4.11,0.98,0.06,,1.39,4.01,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,39,40,,,,,,15,736,4.76,77.84,2.24,,,,,,,,,,,,,552.06,8.41,17.31,1.89,7.19,1.4,0.54,1.36,0.23,0.9,0.12,0.19,,0.39,0.03,1.81,0.09,,,,,,,,,5.14,,2.1,1.21,,,,,,,,,,,,,,,,,,,,,,,,,568171
[15743],CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / PANAMA / EL VALLE / EL HATO UNIT,,8.5608,8.5608,-80.1568,-80.1568,SAE,,,s_CY-06-02-06-4B [15743],ADAKITE [15743],,,,,,,,,VOL,,,,,WR [15743] ,66.61,0.23,,15.69,,,,2.29,3.97,0.99,0.06,,1.42,4.02,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,27,39,,,,,,15,703,4.68,75.89,2.26,,,,,,,,,,,,,555.67,8.24,17.19,1.91,7.16,1.49,0.52,1.34,0.24,0.88,0.14,0.2,,0.44,0.03,1.84,0.12,,,,,,,,,4.82,,1.95,1.15,,,,,,,,,,,,,,,,,,,,,,,,,568172
[15743],CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / PANAMA / EL VALLE / EL HATO UNIT,,8.5608,8.5608,-80.1568,-80.1568,SAE,,,s_CY-06-02-06-4C [15743],ADAKITE [15743],,,,,,,,,VOL,,,,,WR [15743] ,65.81,0.23,,15.99,,,,2.35,4.05,1.03,0.07,,1.43,4.13,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15,39,,,,,,15,718,4.84,75.99,2.27,,,,,,,,,,,,,561.59,8.56,17.83,1.96,7.49,1.49,0.56,1.37,0.23,0.84,0.14,0.22,,0.41,0.03,1.75,0.09,,,,,,,,,5.23,,1.99,1.39,,,,,,,,,,,,,,,,,,,,,,,,,568173
[15743],CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / PANAMA / EL VALLE / EL HATO UNIT,,8.4859,8.4859,-80.0208,-80.0208,SAE,,,s_EE-05-20-06-02 [15743],ADAKITE [15743],,,,,,,,,VOL,,,,,WR [15743] ,69.52,0.24,,16.54,,,,2.31,4.04,1.02,0.06,,1.82,4.11,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,31,39,,,,,,16,749,4.6,80,2.36,,,,,,,,,,,,,520.61,7.6,16.78,1.86,7.25,1.39,0.53,1.34,0.24,0.86,0.13,0.21,,0.34,0.04,1.88,0.22,,,,,,,,,4.38,,2.3,1.75,,,,,,,,,,,,,,,,,,,,,,,,,568174
[15743],CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / PANAMA / EL VALLE / EL HATO UNIT,,8.5508,8.5508,-80.0157,-80.0157,SAE,,,s_GT-05-30-06-02C [15743],ADAKITE [15743],,,,,,,,,VOL,,,,,WR [15743] ,66.49,0.21,,16.68,,,,2.31,3.91,0.96,0.07,,1.22,4.19,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,24,40,,,,,,16,675,6.29,68.72,2.51,,,,,,,,,,,,,619.7,7.26,16.24,1.76,6.78,1.59,0.57,1.48,0.27,1.07,0.19,0.5,,0.68,0.04,1.66,0.12,,,,,,,,,5.38,,1.14,0.97,,,,,,,,,,,,,,,,,,,,,,,,,568175
[15743],CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / PANAMA / EL VALLE / EL HATO UNIT,,8.5549,8.5549,-80.0185,-80.0185,SAE,,,s_GT-05-30-06-03 [15743],ADAKITE [15743],,,,,,,,,VOL,,,,,WR [15743] ,65.61,0.23,,17.36,,,,2.5,4.16,1.03,0.07,,1.21,4.16,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,29,39,,,,,,16,727,5.73,66.6,2.2,,,,,,,,,,,,,564.4,7.6,15.97,1.87,7.48,1.61,0.56,1.5,0.25,1,0.17,0.27,,0.53,0.04,1.59,0.08,,,,,,,,,4.91,,1.15,0.77,,,,,,,,,,,,,,,,,,,,,,,,,568176
[15743],CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / PANAMA / EL VALLE / EL HATO UNIT,,8.5438,8.5438,-80.0068,-80.0068,SAE,,,s_GT-05-30-06-1B [15743],ADAKITE [15743],,,,,,,,,VOL,,,,,WR [15743] ,65.84,0.21,,16.64,,,,2.34,4.11,0.96,0.07,,1.2,4.08,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,14,37,,,,,,15,714,4.96,65.69,2.29,,,,,,,,,,,,,541.43,7.02,15.28,1.64,6.34,1.46,0.55,1.29,0.23,0.92,0.16,0.23,,0.51,0.04,1.56,0.12,,,,,,,,,5.05,,1.09,1.16,,,,,,,,,,,,,,,,,,,,,,,,,568177
[15743],CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / PANAMA / EL VALLE / EL HATO UNIT,,8.5438,8.5438,-80.0068,-80.0068,SAE,,,s_GT-05-30-06-1C [15743],ADAKITE [15743],,,,,,,,,VOL,,,,,WR [15743] ,69.16,0.22,,17.17,,,,2.26,4.11,1.05,0.06,,1.39,4.24,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,31,38,,,,,,18,681,5.45,73,2.45,,,,,,,,,,,,,579.41,7.41,16.2,1.76,6.8,1.49,0.54,1.36,0.24,0.95,0.16,0.39,,0.53,0.03,1.55,0.12,,,,,,,,,4.88,,1.05,0.93,,,,,,,,,,,,,,,,,,,,,,,,,568178
[15743],CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / PANAMA / EL VALLE / EL HATO UNIT,,8.5438,8.5438,-80.0068,-80.0068,SAE,,,s_GT-05-30-06-1D [15743],ADAKITE [15743],,,,,,,,,VOL,,,,,WR [15743] ,65.83,0.22,,16.77,,,,2.36,4.13,0.97,0.07,,1.2,4.13,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,21,39,,,,,,14,715,5.47,66.24,1.93,,,,,,,,,,,,,531.09,7.21,14.37,1.63,6.61,1.39,0.71,1.49,0.21,0.98,0.18,0.37,,0.55,0.04,1.58,0.07,,,,,,,,,3.78,,1.11,0.78,,,,,,,,,,,,,,,,,,,,,,,,,568179
[15743],CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / PANAMA / EL VALLE / EL HATO UNIT,,8.5438,8.5438,-80.0068,-80.0068,SAE,,,s_GT-05-30-06-1E [15743],ADAKITE [15743],,,,,,,,,VOL,,,,,WR [15743] ,66.25,0.2,,16.05,,,,2.2,3.93,0.96,0.06,,1.33,4.07,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,36,,,,,,17,697,4.76,60.33,2.12,,,,,,,,,,,,,558.5,7.33,15.28,1.67,6.46,1.36,0.49,1.31,0.23,0.89,0.12,0.23,,0.46,0.03,1.52,0.09,,,,,,,,,4.71,,1.13,0.78,,,,,,,,,,,,,,,,,,,,,,,,,568180
[15743],CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / PANAMA / EL VALLE / EL HATO UNIT,,8.5508,8.5508,-80.0157,-80.0157,SAE,,,s_GT-05-30-06-2D [15743],ADAKITE [15743],,,,,,,,,VOL,,,,,WR [15743] ,64.98,0.23,,17.61,,,,2.5,4.11,0.96,0.07,,1.15,4.15,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,32,41,,,,,,16,703,5.87,73.52,2.44,,,,,,,,,,,,,638.35,7.82,17.03,1.86,6.84,1.6,0.64,1.5,0.28,1.03,0.2,0.25,,0.55,0.07,1.71,0.12,,,,,,,,,5.51,,1.03,0.97,,,,,,,,,,,,,,,,,,,,,,,,,568181
